timestamp,(HealthService)/Defragmentation Tasks,(HealthService)/Defragmentation Tasks Pending
08/02/2023 20:24:09.358,0,0
08/02/2023 20:25:09.371,0,0
08/02/2023 20:26:09.385,0,0
08/02/2023 20:27:09.398,0,0
08/02/2023 20:28:09.411,0,0
08/02/2023 20:29:09.424,0,0
08/02/2023 20:30:09.437,0,0
08/02/2023 20:31:09.451,0,0
08/02/2023 20:32:09.464,0,0
08/02/2023 20:33:09.477,0,0
08/02/2023 20:34:09.490,0,0
08/02/2023 20:35:09.503,0,0
08/02/2023 20:36:09.517,0,0
08/02/2023 20:37:09.530,0,0
08/02/2023 20:38:09.543,0,0
08/02/2023 20:39:09.556,0,0
08/02/2023 20:40:09.569,0,0
08/02/2023 20:41:09.583,0,0
08/02/2023 20:42:09.596,0,0
08/02/2023 20:43:09.609,0,0
08/02/2023 20:44:09.622,0,0
08/02/2023 20:45:09.635,0,0
08/02/2023 20:46:09.649,0,0
08/02/2023 20:47:09.662,0,0
08/02/2023 20:48:09.675,0,0
08/02/2023 20:49:09.688,0,0
08/02/2023 20:50:09.701,0,0
08/02/2023 20:51:09.715,0,0
08/02/2023 20:52:09.728,0,0
08/02/2023 20:53:09.741,0,0
08/02/2023 20:54:09.770,0,0
08/02/2023 20:55:09.783,0,0
08/02/2023 20:56:09.796,0,0
08/02/2023 20:57:09.809,0,0
08/02/2023 20:58:09.823,0,0
08/02/2023 20:59:09.836,0,0
08/02/2023 21:00:09.849,0,0
08/02/2023 21:01:09.862,0,0
08/02/2023 21:02:09.875,0,0
08/02/2023 21:03:09.935,0,0
08/02/2023 21:04:09.949,0,0
08/02/2023 21:05:09.962,0,0
08/02/2023 21:06:09.975,0,0
08/02/2023 21:07:09.988,0,0
08/02/2023 21:08:10.001,0,0
08/02/2023 21:09:10.015,0,0
08/02/2023 21:10:10.028,0,0
08/02/2023 21:11:10.041,0,0
08/02/2023 21:12:10.054,0,0
08/02/2023 21:13:10.067,0,0
08/02/2023 21:14:10.081,0,0
08/02/2023 21:15:10.094,0,0
08/02/2023 21:16:10.107,0,0
08/02/2023 21:17:10.120,0,0
08/02/2023 21:18:10.133,0,0
08/02/2023 21:19:10.147,0,0
08/02/2023 21:20:10.160,0,0
08/02/2023 21:21:10.173,0,0
08/02/2023 21:22:10.186,0,0
08/02/2023 21:23:10.199,0,0
08/02/2023 21:24:10.275,0,0
08/02/2023 21:25:10.288,0,0
08/02/2023 21:26:10.301,0,0
08/02/2023 21:27:10.315,0,0
08/02/2023 21:28:10.328,0,0
08/02/2023 21:29:10.341,0,0
08/02/2023 21:30:10.354,0,0
08/02/2023 21:31:10.367,0,0
08/02/2023 21:32:10.381,0,0
08/02/2023 21:33:10.394,0,0
08/02/2023 21:34:10.407,0,0
08/02/2023 21:35:10.420,0,0
08/02/2023 21:36:10.433,0,0
08/02/2023 21:37:10.447,0,0
08/02/2023 21:38:10.460,0,0
08/02/2023 21:39:10.473,0,0
08/02/2023 21:40:10.486,0,0
08/02/2023 21:41:10.499,0,0
08/02/2023 21:42:10.513,0,0
08/02/2023 21:43:10.526,0,0
08/02/2023 21:44:10.539,0,0
08/02/2023 21:45:10.552,0,0
