timestamp,(vmxnet3 Ethernet Adapter)/Bytes Total/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Bytes Total/sec,(Local Area Connection* 11)/Bytes Total/sec,(Local Area Connection* 12)/Bytes Total/sec,(vmxnet3 Ethernet Adapter)/Packets/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets/sec,(Local Area Connection* 11)/Packets/sec,(Local Area Connection* 12)/Packets/sec,(vmxnet3 Ethernet Adapter)/Packets Received/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Received/sec,(Local Area Connection* 11)/Packets Received/sec,(Local Area Connection* 12)/Packets Received/sec,(vmxnet3 Ethernet Adapter)/Packets Sent/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Sent/sec,(Local Area Connection* 11)/Packets Sent/sec,(Local Area Connection* 12)/Packets Sent/sec,(vmxnet3 Ethernet Adapter)/Current Bandwidth,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Current Bandwidth,(Local Area Connection* 11)/Current Bandwidth,(Local Area Connection* 12)/Current Bandwidth,(vmxnet3 Ethernet Adapter)/Bytes Received/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Bytes Received/sec,(Local Area Connection* 11)/Bytes Received/sec,(Local Area Connection* 12)/Bytes Received/sec,(vmxnet3 Ethernet Adapter)/Packets Received Discarded,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Received Discarded,(Local Area Connection* 11)/Packets Received Discarded,(Local Area Connection* 12)/Packets Received Discarded,(vmxnet3 Ethernet Adapter)/Packets Received Errors,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Received Errors,(Local Area Connection* 11)/Packets Received Errors,(Local Area Connection* 12)/Packets Received Errors,(vmxnet3 Ethernet Adapter)/Packets Received Unknown,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Received Unknown,(Local Area Connection* 11)/Packets Received Unknown,(Local Area Connection* 12)/Packets Received Unknown,(vmxnet3 Ethernet Adapter)/Bytes Sent/sec,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Bytes Sent/sec,(Local Area Connection* 11)/Bytes Sent/sec,(Local Area Connection* 12)/Bytes Sent/sec,(vmxnet3 Ethernet Adapter)/Packets Outbound Discarded,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Outbound Discarded,(Local Area Connection* 11)/Packets Outbound Discarded,(Local Area Connection* 12)/Packets Outbound Discarded,(vmxnet3 Ethernet Adapter)/Packets Outbound Errors,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Packets Outbound Errors,(Local Area Connection* 11)/Packets Outbound Errors,(Local Area Connection* 12)/Packets Outbound Errors,(vmxnet3 Ethernet Adapter)/Output Queue Length,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Output Queue Length,(Local Area Connection* 11)/Output Queue Length,(Local Area Connection* 12)/Output Queue Length,(vmxnet3 Ethernet Adapter)/Offloaded Connections,(isatap.{BBF1623F-1EA4-41FA-BCA0-EBBD77727FA5})/Offloaded Connections,(Local Area Connection* 11)/Offloaded Connections,(Local Area Connection* 12)/Offloaded Connections
08/02/2023 20:24:10.279, , , , , , , , , , , , , , , , ,10000000000,100000,0,0, , , , ,666747,0,0,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:25:10.292,83014.331416774949,0, , ,333.4094259449185,0, , ,172.87834445392218,0, , ,160.53108149099629,0, , ,10000000000,100000,0,0,33574.407508626202,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,49439.923908148739,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:26:10.305,82103.285223128958,0, , ,337.59177126180776,0, , ,176.64414447909297,0, , ,160.94762678271476,0, , ,10000000000,100000,0,0,33533.760468647226,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,48569.524754481732,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:27:10.318,86266.044589884972,0, , ,333.55797777617363,0, , ,173.84405945343289,0, , ,159.71391832274074,0, , ,10000000000,100000,0,0,33359.563593531908,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,52906.480996353057,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:28:10.331,89762.616050523953,0, , ,335.2937630071616,0, , ,174.74533807057466,0, , ,160.54842493658691,0, , ,10000000000,100000,0,0,33411.768539096811,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,56350.847511427142,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:29:10.345,80282.427226438973,0, , ,326.71059980033056,0, , ,169.61224029007826,0, , ,157.09835951025227,0, , ,10000000000,100000,0,0,32813.994826010879,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,47468.432400428093,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:30:10.358,83579.491124174092,0, , ,342.19081946442492,0, , ,177.79392499442025,0, , ,164.3968944700047,0, , ,10000000000,100000,0,0,34471.592643665121,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,49107.898480508971,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:31:10.387,79394.89639129673,0, , ,323.71096985737012,0, , ,167.61937930757813,0, , ,156.09159054979199,0, , ,10000000000,100000,0,0,32409.811698270387,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,46985.084693026343,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:32:10.400,78845.882921956043,0, , ,320.29584551791805,0, , ,166.36321515195576,0, , ,153.93263036596227,0, , ,10000000000,100000,0,0,32154.123681403755,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,46691.759240552288,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2023 20:33:10.413,80088.965739226798,0, , ,326.34250244001407,0, , ,169.59479141355442,0, , ,156.74771102645965,0, , ,10000000000,100000,0,0,32809.960312330739,0, , ,666747,0,0,0,0,0,0,0,0,0,0,0,47279.005426896059,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
